,user_id,original_image,face_id,age,gender,x,y,dx,dy,tilt_ang,fiducial_yaw_angle,fiducial_score
0,115321157@N03,12111738395_a7f715aa4e_o.jpg,1744,"(4, 6)",m,663,997,637,638,-95,0,129
1,115321157@N03,12112413505_0aea8e17c6_o.jpg,1745,"(48, 53)",m,505,846,433,433,-95,0,72
2,115321157@N03,12112392255_995532c2f0_o.jpg,1744,"(4, 6)",m,517,1185,383,383,0,0,70
3,115321157@N03,12112392255_995532c2f0_o.jpg,1747,"(25, 32)",m,1421,667,325,325,0,0,102
4,115321157@N03,12111055306_38d54c12ff_o.jpg,1747,"(25, 32)",m,513,247,2205,2201,-95,0,107
5,115321157@N03,12120203274_f0390d9f7c_o.jpg,1748,"(0, 2)",u,0,149,1813,2155,-115,0,78
6,115321157@N03,12111034286_4f5bfbacea_o.jpg,1749,"(25, 32)",f,1826,997,306,306,-90,0,89
7,115321157@N03,12113086695_1962742774_o.jpg,1744,"(4, 6)",m,704,809,1135,1135,-100,0,101
8,115321157@N03,12123096015_ae4d8770fa_o.jpg,1748,"(0, 2)",u,1091,1012,325,325,-25,0,112
9,115321157@N03,12120187433_4df14bb039_o.jpg,1748,"(0, 2)",u,851,541,1625,1626,-105,0,41
10,115321157@N03,12110347765_b8bb6fed6e_o.jpg,1749,"(25, 32)",f,213,0,744,622,-100,0,134
11,115321157@N03,12110347765_b8bb6fed6e_o.jpg,1747,"(25, 32)",m,246,346,684,614,-85,0,75
12,115321157@N03,12112793214_c8a93a8aa2_o.jpg,1744,"(4, 6)",m,48,0,1232,960,-95,0,41
13,115321157@N03,12110382715_bb0193c359_o.jpg,1747,"(25, 32)",m,431,1225,1231,1223,-95,0,75
14,115321157@N03,12119891043_aae1a6f6de_o.jpg,1744,"(4, 6)",m,698,882,694,695,-105,0,103
15,115321157@N03,12113381853_92b62e9e22_o.jpg,1751,55,f,2148,851,306,306,10,0,23
16,115321157@N03,12112755563_388aecd6a1_o.jpg,1747,"(25, 32)",m,648,36,1275,1275,-100,0,93
17,115321157@N03,12110803894_f8e8d05f5f_o.jpg,1749,"(25, 32)",f,1490,674,312,312,5,0,136
18,115321157@N03,12110803894_f8e8d05f5f_o.jpg,1747,"(25, 32)",m,1938,661,306,306,-5,0,152
19,115321157@N03,12110803894_f8e8d05f5f_o.jpg,1751,55,f,1107,768,287,287,-15,0,115
20,115321157@N03,12113084426_0438f67c9a_o.jpg,1745,"(48, 53)",m,1069,506,465,466,-85,0,44
21,115321157@N03,12113084426_0438f67c9a_o.jpg,1744,"(4, 6)",m,1182,232,376,376,-85,0,68
22,115321157@N03,12119902023_bb49e9b241_o.jpg,1753,"(38, 43)",m,2683,666,287,287,-10,0,103
23,115321157@N03,12119902023_bb49e9b241_o.jpg,1755,"(4, 6)",m,918,623,261,261,-10,0,176
24,115321157@N03,12119902023_bb49e9b241_o.jpg,1744,"(4, 6)",m,945,1158,255,255,-5,0,126
25,115321157@N03,12119902023_bb49e9b241_o.jpg,1756,"(4, 6)",f,1671,1174,255,255,-5,0,128
26,115321157@N03,12119902023_bb49e9b241_o.jpg,1757,"(4, 6)",f,1437,1195,242,242,5,0,118
27,115321157@N03,12119902023_bb49e9b241_o.jpg,1758,"(4, 6)",f,1912,1198,242,242,-5,0,175
28,115321157@N03,12119902023_bb49e9b241_o.jpg,1759,"(4, 6)",f,1211,1180,242,243,0,0,76
29,115321157@N03,12119902023_bb49e9b241_o.jpg,1760,"(4, 6)",f,2545,1142,242,242,-10,0,21
30,115321157@N03,12119902023_bb49e9b241_o.jpg,1762,"(4, 6)",f,1432,747,243,242,5,0,66
31,115321157@N03,12119902023_bb49e9b241_o.jpg,1763,"(4, 6)",f,1697,734,242,242,5,0,90
32,115321157@N03,12119902023_bb49e9b241_o.jpg,1764,"(4, 6)",m,2443,723,242,242,0,0,106
33,115321157@N03,12119902023_bb49e9b241_o.jpg,1765,"(4, 6)",m,2103,680,243,242,5,0,98
34,115321157@N03,12113492194_aa0987d8a5_o.jpg,1744,"(4, 6)",m,627,750,810,810,-95,0,124
35,115321157@N03,12113057886_6c7e88a718_o.jpg,1744,"(4, 6)",m,321,0,852,842,-95,0,49
36,115321157@N03,12110395505_4722868c36_o.jpg,1750,57,m,191,301,1791,1791,-90,0,111
